Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Isoprocarb,5.06,6.25,--,1.27,1.52,--,6.96,8.79,--,8.85,11.24,--
Chlorpyrifos + cypermthrin,3.8,3.13,6.67,3.8,3.03,7.69,2.61,2.2,4.17,3.54,3.37,4.17
Carbofuran,6.33,6.25,6.67,2.53,3.03,--,0.87,1.1,--,4.42,5.62,--
Methomyl,5.06,6.25,--,3.8,4.55,--,2.61,3.3,--,0.88,1.12,--
Chlorpyrifos,2.53,3.13,--,2.53,3.03,--,1.74,2.2,--,1.77,2.25,--
Chlorpyrifos + BPMC,5.06,6.25,--,1.27,1.52,--,--,--,--,1.77,2.25,--
Triazophos,2.53,1.56,6.67,1.27,1.52,--,0.87,1.1,--,--,--,--
BPMC,2.53,3.13,--,2.53,3.03,--,--,--,--,--,--,--
Cartap hydrochloride,2.53,3.13,--,1.27,1.52,--,--,--,--,0.88,1.12,--
Betacyfluthrin,1.27,1.56,--,1.27,1.52,--,0.87,1.1,--,0.88,1.12,--
Methamidophos,1.27,1.56,--,2.53,3.03,--,--,--,--,--,--,--
Fipronil,--,--,--,1.27,1.52,--,0.87,1.1,--,0.88,1.12,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,39.24,43.75,20,37.97,37.88,38.46,--,--,--,62.83,69.66,37.5
Niclosamide,43.04,42.19,46.67,15.19,18.18,--,--,--,--,18.58,16.85,25
Metaldehyde,17.72,14.06,33.33,21.52,18.18,38.46,--,--,--,22.12,20.22,29.17
Rodenticides,,,,,,,,,,,,
Coumatetralyl,16.46,18.75,6.67,11.39,12.12,7.69,13.91,9.89,29.17,17.7,17.98,16.67
Zinc phosphide,6.33,6.25,6.67,8.86,10.61,--,4.35,5.49,--,24.78,26.97,16.67
Fungicide,,,,,,,,,,,,
