Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Certified,59.67,27.63,60.81,28.69,50.56,15.55,56.87,20.81,59.44,21.36,48.1,16.69,59.28,23.17,56.83,23.9,69.42,16.98,47.64,15.81,47.38,15.3,48.38,17.74,67.79,34.4,65.99,34.4,72.64,34.83,71,31.89,68.99,28.78,79.39,43.25
Good seeds,69.12,27.31,79.61,21.05,56,29.79,80.16,15.27,78.92,8.71,82.13,23.64,85.08,25,85.56,30.21,84,8,66.41,22.16,71.71,21.94,51.6,16.52,66.67,0,66.67,0,-,-,-,-,-,-,-,-
Farmer's seed,77.87,21.16,78.68,23.52,76.5,17.79,80.1,43.29,99.33,43.69,57.36,31.16,67.82,18.91,65.31,20.9,76.19,6.6,69,22.18,61.33,19.63,92,0,54.54,24.88,56.05,30.24,50,0,65.48,22.13,65.48,22.13,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.33,25.82,46,19.49,82.67,16.73,79.77,19.65,79.77,19.65,-,-
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,0,-,-,80,0,-,-,-,-,-,-
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,79.2,64,79.2,-,-,-,-,-,-,-,-
Isabela,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 89),,(n = 74),,(n = 15),,(n = 89),,(n = 75),,(n = 14),,(n = 114),,(n = 90),,(n = 24),,(n = 115),,(n = 90),,(n = 25),,(n = 112),,(n = 94),,(n = 18),,(n = 116),,(n = 104),,(n = 12),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,65.3,82.04,65.3,82.04,-,-,27.5,3.54,27.5,3.54,-,-,16.8,2.78,17.69,3.26,15,0,20.53,2.44,20.53,2.44,-,-,20.85,6.47,21.5,6.5,15,0,28.3,24.13,28.68,25.1,24,8.49
Registered,89.44,0.79,89.44,0.79,-,-,100,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.67,31.27,80,34.64,106.67,0,-,-,-,-,-,-
Certified,96.12,36.6,97.77,38.05,85.1,24.31,94.38,31.13,95.49,30.78,53.33,0,90.49,34.9,92.41,34.68,83.42,35.92,82.07,25.28,84.73,24.9,73.26,25.3,91.95,36.92,91.91,37.87,92.15,33.38,98.71,56.21,99.85,57.69,90.4,45.76
Good seeds,125.46,37.14,117.11,29,148.12,49.05,147.05,48.97,147.52,50.67,145,50.74,105.55,46,124.36,37.81,61.67,33.29,137.99,57.03,137.99,57.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Farmer's seed,131.94,44.37,140.33,43.75,90,14.14,120.58,36.73,121.32,40.46,118.94,28.67,115.25,30.01,113.25,29.82,126.25,33.01,112.76,36.23,119.06,39.91,94.57,10,120.75,30.46,120.75,30.46,-,-,94.9,17.25,94.9,17.25,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,77.22,77.33,57.46,200,0,114.07,22.81,104.44,22,133.33,0
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,28.28,80,0,120,0,90,0,90,0,-,-
Breeding Line,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.82,11.57,71.82,11.57,-,-,93.33,30.55,93.33,30.55,-,-
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,14.14,90,14.14,-,-
Nueva Vizcaya,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 47),,(n = 13),,(n = 57),,(n = 55),,(n = 2),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.69,26.35,28.69,26.35,-,-,24.48,15.83,25.71,16.98,17.14,0
Certified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.44,25.63,78.92,25.37,69.33,27.91,87.26,26.8,88.39,26.39,50,0
Good seeds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,28.28,80,0,120,0,83.33,0,83.33,0,-,-
Farmer's seed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.99,69.77,113.73,47.31,126.34,99.56,95.24,31.36,95.24,31.36,-,-
Traditional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,0,-,-,160,0,-,-,-,-,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.74,61.64,89.74,61.64,-,-
Aurora,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 55),,(n = 2),,(n = 50),,(n = 49),,(n = 1),,(n = 59),,(n = 55),,(n = 4),,(n = 55),,(n = 53),,(n = 2),,(n = 59),,(n = 56),,(n = 3),,(n = 59),,(n = 59),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certified,119.52,48.89,119.52,48.89,-,-,107.3,39.12,107.3,39.12,-,-,146.14,38.84,148.23,38.98,114.92,21.41,147.03,33.3,148.02,33.77,126.67,9.43,156.95,36.75,158.34,36.2,133.33,46.19,154.11,30.96,154.11,30.96,-,-
Good seeds,152.33,63.29,149.52,64.07,200,0,142.67,12.7,142.67,12.7,-,-,161.25,30.65,173.33,23.09,125,0,142.38,29.98,142.38,29.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Farmer's seed,190.3,29,191.4,28.8,156.25,0,144,40.82,143.44,41.17,166.67,0,184.62,49.9,184.62,49.9,-,-,163.69,33.77,163.69,33.77,-,-,166.67,44.22,166.67,44.22,-,-,160,0,160,0,-,-
Registered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.99,6.16,113.99,6.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,0,80,0,-,-,130.61,38.1,130.61,38.1,-,-
Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,67.88,60,67.88,-,-
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.09,42.55,150.09,42.55,-,-
